GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AV0AA,AV0AAM
"G370","2010-2014","North Carolina","37","370","North Carolina",9750405,0
"G380","2010-2014","North Dakota","38","380","North Dakota",704925,0
"G390","2010-2014","Ohio","39","390","Ohio",11560380,0
"G400","2010-2014","Oklahoma","40","400","Oklahoma",3818851,0
"G410","2010-2014","Oregon","41","410","Oregon",3900343,0
"G420","2010-2014","Pennsylvania","42","420","Pennsylvania",12758729,0
"G440","2010-2014","Rhode Island","44","440","Rhode Island",1053252,0
"G450","2010-2014","South Carolina","45","450","South Carolina",4727273,0
"G460","2010-2014","South Dakota","46","460","South Dakota",834708,0
"G470","2010-2014","Tennessee","47","470","Tennessee",6451365,0
"G480","2010-2014","Texas","48","480","Texas",26092033,0
"G490","2010-2014","Utah","49","490","Utah",2858111,0
"G500","2010-2014","Vermont","50","500","Vermont",626358,0
"G510","2010-2014","Virginia","51","510","Virginia",8185131,0
"G530","2010-2014","Washington","53","530","Washington",6899123,0
"G540","2010-2014","West Virginia","54","540","West Virginia",1853881,0
"G550","2010-2014","Wisconsin","55","550","Wisconsin",5724692,0
"G560","2010-2014","Wyoming","56","560","Wyoming",575251,0
"G720","2010-2014","Puerto Rico","72","720","Puerto Rico",3638965,0
"G010","2011-2015","Alabama","01","010","Alabama",4830620,0
"G020","2011-2015","Alaska","02","020","Alaska",733375,0
"G040","2011-2015","Arizona","04","040","Arizona",6641928,0
"G050","2011-2015","Arkansas","05","050","Arkansas",2958208,0
"G060","2011-2015","California","06","060","California",38421464,0
"G080","2011-2015","Colorado","08","080","Colorado",5278906,0
"G090","2011-2015","Connecticut","09","090","Connecticut",3593222,0
"G100","2011-2015","Delaware","10","100","Delaware",926454,0
"G110","2011-2015","District of Columbia","11","110","District of Columbia",647484,0
"G120","2011-2015","Florida","12","120","Florida",19645772,0
"G130","2011-2015","Georgia","13","130","Georgia",10006693,0
"G150","2011-2015","Hawaii","15","150","Hawaii",1406299,0
"G160","2011-2015","Idaho","16","160","Idaho",1616547,0
"G170","2011-2015","Illinois","17","170","Illinois",12873761,0
"G180","2011-2015","Indiana","18","180","Indiana",6568645,0
"G190","2011-2015","Iowa","19","190","Iowa",3093526,0
"G200","2011-2015","Kansas","20","200","Kansas",2892987,0
"G210","2011-2015","Kentucky","21","210","Kentucky",4397353,0
