GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "39025","Clermont, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3264,3388,3530,3849,4265,4762,5059,5732,6408,7211,8128,9123,9866,10502,10965,11912,12838,13527,14204,14993,16140,16861,17247,18239,18829,19758,20592,21574,23990,25315,27711,29486,31077,31840,32686,33152,34176,35422,36348,37754,37031,38464,40998,41583,42201,44543,49027,49359,51543,53893,57571,60535
 "39027","Clinton, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",119521,119282,119688,131500,154398,170898,186478,204444,224192,249555,282771,303211,328048,355555,357476,413592,435430,446860,468189,495652,536144,572899,591630,646365,673261,748158,793599,863345,942594,982650,1007868,1072494,1112072,1108006,1162761,1254068,1327309,1420967,1498135,1514252,1539210,1530634,1624951,1621723,1616168,1618171,1719905,1762715,1829841,1898808,1892138,2034911
 "39027","Clinton, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",31202,31476,31771,31980,32454,32942,33265,33489,33960,34363,34600,34608,34553,34210,34238,34060,34021,34193,34601,34589,34959,35581,35998,36483,36807,37309,37643,38275,38991,39554,40104,40566,40777,41042,41250,41557,41775,42499,42576,42656,42418,41922,41919,41829,41879,41824,41864,41923,42035,42119,42002,41921
 "39027","Clinton, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3831,3790,3767,4112,4757,5188,5606,6105,6602,7262,8173,8761,9494,10393,10441,12143,12799,13069,13531,14330,15336,16101,16435,17717,18292,20053,21082,22556,24175,24843,25131,26438,27272,26997,28188,30177,31773,33435,35187,35499,36287,36511,38764,38770,38591,38690,41083,42046,43531,45082,45049,48542
 "39029","Columbiana, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",352391,371236,397059,430466,491082,560820,612549,682707,743762,806363,876976,949332,1051307,1034317,1029692,1119274,1165386,1212271,1275406,1390281,1497752,1615298,1669820,1782130,1833144,1937016,2033589,2115841,2247706,2334463,2375369,2478059,2560770,2616009,2703552,2708985,2769877,2914302,3055233,3180034,3105880,3211791,3426118,3518381,3512815,3646721,3720081,3683337,3783087,3925235,4009397,4324953
 "39029","Columbiana, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",108063,108518,109671,110439,111490,111659,112224,112741,113764,114711,113842,113428,112599,112463,111217,109992,109127,108181,107885,107677,107847,108500,109386,110346,111043,111357,111625,111761,111854,112044,112151,112048,111370,111097,111000,110627,109784,109673,109153,108469,107948,107889,107437,106652,106007,105681,104788,103926,103198,102534,101794,101118
 "39029","Columbiana, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3261,3421,3620,3898,4405,5023,5458,6056,6538,7030,7703,8369,9337,9197,9258,10176,10679,11206,11822,12912,13888,14888,15265,16150,16508,17395,18218,18932,20095,20835,21180,22116,22993,23547,24356,24488,25230,26573,27990,29317,28772,29769,31890,32989,33138,34507,35501,35442,36659,38282,39387,42771
 "39031","Coshocton, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",112173,118949,137852,150334,163599,176043,190142,214618,237435,257393,275205,293692,328315,350981,364751,403944,413523,417247,440883,459819,492120,513110,522719,567655,586765,625773,647879,692844,751096,788942,812555,866885,861060,854714,878124,916915,924274,965572,1004915,1033341,1005250,1032958,1103777,1099802,1158344,1191120,1272174,1191498,1233532,1290854,1325204,1444830
 "39031","Coshocton, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",33427,33533,33944,34895,35194,35135,35718,35356,35261,35486,35764,36076,36202,36146,35972,35948,35438,35366,35324,35451,35549,35451,35605,35743,36005,36089,36297,36391,36530,36531,36526,36724,36975,37149,37288,37421,37363,37339,37184,36953,36878,36938,36930,36821,36721,36530,36579,36651,36535,36607,36549,36449
 "39031","Coshocton, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3356,3547,4061,4308,4648,5010,5323,6070,6734,7253,7695,8141,9069,9710,10140,11237,11669,11798,12481,12971,13843,14474,14681,15882,16297,17340,17849,19039,20561,21597,22246,23605,23288,23008,23550,24503,24738,25860,27025,27964,27259,27965,29888,29869,31544,32607,34779,32509,33763,35262,36258,39640
