GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "26025","Calhoun, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3926,4076,4472,4876,5349,5639,6281,6887,7433,8113,8874,9456,10235,10843,11291,12076,13067,13776,14681,15365,16345,17056,17821,18871,19435,20592,21379,22245,23718,24276,24636,25136,25720,26538,27060,27702,28505,29055,30152,31538,31139,32192,33069,34186,34478,35335,37265,37873,38333,39189,40428,44729
 "26027","Cass, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",151230,159019,174934,204370,234416,245236,278948,299511,330911,376456,400701,423777,455795,475870,515779,566929,578572,617044,651840,674919,721045,742305,764779,820323,874018,951962,1000612,1027430,1118069,1176436,1241405,1306936,1331468,1349638,1400799,1475843,1523017,1566268,1621279,1643201,1547234,1669378,1798951,1815337,1868436,1921963,2017659,2125516,2202975,2305393,2344319,2598040
 "26027","Cass, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",40316,43270,43559,43995,45823,46458,47479,47761,48060,48344,49516,49632,50060,48994,48563,48549,48945,48511,48729,49101,49351,49521,49322,49185,49229,49422,50000,50345,50449,50711,50852,51146,51395,51588,51783,52290,52358,52282,52623,52684,52362,52245,52210,51815,51601,51585,51370,51326,51534,51773,51847,51584
 "26027","Cass, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3751,3675,4016,4645,5116,5279,5875,6271,6885,7787,8092,8538,9105,9713,10621,11677,11821,12720,13377,13746,14611,14990,15506,16678,17754,19262,20012,20408,22162,23199,24412,25553,25907,26162,27051,28224,29089,29958,30809,31190,29549,31953,34456,35035,36209,37258,39277,41412,42748,44529,45216,50365
 "26029","Charlevoix, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",48875,53140,59034,67795,76308,84964,95834,107497,122372,138293,152897,166983,178142,188105,199537,212852,227261,241890,260565,290240,320106,351672,375652,407602,434344,485028,520251,561610,601887,634325,680689,717376,751304,781219,804575,869539,896421,949937,958340,995888,934038,988011,1053315,1071215,1072279,1140270,1226957,1252879,1298282,1362192,1392197,1495534
 "26029","Charlevoix, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",16589,16657,17132,17094,17922,18019,18468,18955,19379,19290,19719,19973,20196,19918,19855,19816,19837,20111,20453,20915,21149,21593,22020,22494,22953,23463,23959,24282,24758,25245,25806,26171,26437,26542,26656,26601,26534,26394,26499,26280,26068,25936,26106,26193,26258,26222,26219,26214,26218,26247,26202,26105
 "26029","Charlevoix, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2946,3190,3446,3966,4258,4715,5189,5671,6315,7169,7754,8360,8821,9444,10050,10741,11456,12028,12740,13877,15136,16286,17060,18120,18923,20672,21714,23129,24311,25127,26377,27411,28419,29433,30184,32688,33784,35991,36165,37895,35831,38094,40348,40897,40836,43485,46796,47794,49519,51899,53133,57289
 "26031","Cheboygan, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",46671,50803,55569,63110,71403,79791,92147,102168,113411,125934,142582,160054,173570,182305,191699,205742,217433,231966,241078,255796,282960,301447,314287,329111,363138,394058,429790,463882,504017,540563,568267,591670,620524,619823,644985,663095,681104,690768,714603,748384,734114,755843,791990,816959,838789,870391,904466,932928,962236,987215,1016727,1136385
 "26031","Cheboygan, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",15583,16703,17222,17859,18565,19060,19312,19733,19970,20060,20308,20732,21021,20961,20975,20769,20620,20519,20579,20957,21181,21514,21576,22099,22641,23135,23654,24178,24803,25404,25949,26530,26881,27138,27232,27228,27274,27249,27093,26738,26330,26059,25884,25745,25573,25635,25399,25452,25448,25574,25331,25365
 "26031","Cheboygan, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2995,3042,3227,3534,3846,4186,4771,5178,5679,6278,7021,7720,8257,8697,9139,9906,10545,11305,11715,12206,13359,14012,14567,14893,16039,17033,18170,19186,20321,21279,21899,22302,23084,22840,23685,24353,24973,25350,26376,27990,27881,29005,30598,31733,32800,33953,35610,36654,37812,38602,40138,44801
 "26033","Chippewa, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",99679,113297,127492,140449,160105,175921,196345,214947,200683,186095,197551,213771,230256,246899,257696,282552,303349,316969,332651,357845,392415,428719,453262,490584,529816,571141,603293,647737,685290,702241,747199,775912,811600,817819,849991,885661,905177,920438,966686,1028316,1053881,1089787,1103101,1164145,1178926,1130960,1177902,1190938,1227749,1258976,1315620,1466969
 "26033","Chippewa, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",32373,32559,33283,34526,35179,36144,36352,37173,36665,31084,30215,29209,29870,29748,29308,29488,29950,30111,30436,31456,33897,34788,35406,35703,36295,36802,37173,37803,38290,38508,38423,38593,38518,38748,38789,38803,38990,39051,39314,39247,39174,38623,38904,39006,38587,38275,37998,37724,37699,37423,37287,36958
 "26033","Chippewa, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3079,3480,3831,4068,4551,4867,5401,5782,5473,5987,6538,7319,7709,8300,8793,9582,10129,10527,10930,11376,11577,12324,12802,13741,14597,15519,16229,17135,17897,18236,19447,20105,21071,21106,21913,22825,23216,23570,24589,26201,26903,28216,28354,29845,30552,29548,30999,31570,32567,33642,35284,39693
 "26035","Clare, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",44968,48610,53515,60343,67897,77976,91029,104222,120420,135872,151023,164839,180781,194584,206619,222725,235543,250150,261153,277283,300049,318554,338103,365346,393182,423314,452641,484432,523329,551117,593551,618278,634071,636191,663239,687010,706475,716286,735901,780025,801093,840756,871829,873769,902707,917268,966125,981895,1019059,1058626,1069186,1189452
 "26035","Clare, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",14880,16860,17514,18199,19458,20120,20921,21817,22370,22877,23312,23909,24208,23937,23838,24105,23972,24057,24245,24548,24735,25075,25870,26430,27222,27916,28427,29112,29608,30235,30808,31398,31405,31707,31710,31821,31701,31612,31353,31064,30856,31005,31002,30796,30598,30727,30611,30382,30553,30684,30884,30771
 "26035","Clare, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3022,2883,3056,3316,3489,3876,4351,4777,5383,5939,6478,6894,7468,8129,8668,9240,9826,10398,10771,11296,12131,12704,13069,13823,14444,15164,15923,16640,17675,18228,19266,19692,20190,20065,20916,21590,22286,22659,23471,25110,25962,27117,28122,28373,29502,29852,31561,32318,33354,34501,34619,38655
 "26037","Clinton, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",173842,175836,189605,210252,234871,253188,267753,296724,346954,395572,457319,509757,578873,591159,665728,727388,780052,818096,828217,877997,953749,992591,1048234,1121062,1175021,1283772,1383358,1489517,1593184,1680865,1813072,1928588,1983803,1904718,1906055,2011029,2153544,2318603,2473139,2555117,2515066,2667792,2816341,2873061,2951040,3078860,3185555,3361903,3492244,3645538,3769091,4071617
 "26037","Clinton, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",47353,48509,48781,48655,50912,51874,53087,53439,54772,55600,56233,56000,56308,55796,55649,55424,55647,55802,56547,57051,57336,58136,59002,59361,60122,60798,61625,62239,62892,63435,64069,65020,66098,67596,69103,70605,71700,72881,73740,74302,74828,75400,75902,76171,76821,76973,77037,77639,78550,79229,79615,79753
 "26037","Clinton, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3671,3625,3887,4321,4613,4881,5044,5553,6335,7115,8133,9103,10280,10595,11963,13124,14018,14661,14647,15390,16634,17074,17766,18885,19544,21115,22448,23932,25332,26497,28299,29661,30013,28178,27583,28483,30035,31814,33539,34388,33611,35382,37105,37719,38414,39999,41351,43302,44459,46013,47341,51053
